provider,ntd_id,voms,upt,contact_city,service_county,url,gtfs,gtfs_rt_service_alerts,gtfs_rt_trip_updates,gtfs_rt_vehicle_locations
AC Transit,90014,520,4453146,Oakland,"Alameda, Contra Costa",http://www.actransit.org/,https://transitfeeds.com/p/ac-transit/1269/latest/download,,,
Access Services,90157,,,El Monte,Los Angeles,http://accessla.org/home/,,,,
Agoura Hills Dial-A-Ride,90246,,,Agoura Hills,Los Angeles,http://www.ci.agoura-hills.ca.us/our-city/visitors/alternative-transportation,,,,
Alhambra Community Transit,90247,,,Alhambra,Los Angeles,https://www.cityofalhambra.org/resources/public-transportation,,,,
Alpine County Local Transportation Commission,91116,,,Markleeville,Alpine,http://www.alpinecountyca.gov/index.aspx?NID=159,,,,
Altamont Corridor Express,90182,32,126661,Stockton,"San Joaquin, Santa Clara",http://www.acerail.com/,https://transitfeeds.com/p/altamont-corridor-express/823/latest/download,,,
Amador Regional Transit System,91000,,,Jackson,Amador,http://amadortransit.com/,https://transitfeeds.com/p/amador-transit/390/latest/download,,,
Amtrak,,,,Sacramento,"Sacramento, Orange, Contra Costa, Placer, Kern, San Bernardino, Alameda, Los Angeles, Ventura, Santa Barbara, Butte, Kings, Yolo, Siskiyou, Solano, Fresno, San Luis Obispo, San Joaquin, Madera, Merced, Stanislaus, San Diego, Riverside, Shasta, Monterey, Nevada, ",http://www.amtrak.com/home,,,,
Anaheim Resort Transportation,90211,70,670965,Anaheim,Orange,http://www.rideart.org/,https://transitfeeds.com/p/anaheim-resort-transportation/410/latest/download,,,
Angel Island-Tiburon Ferry Company,,,,Tiburon,Marin,https://angelislandferry.com/,,,,
Antelope Valley Transit Authority,90121,71,183018,Lancaster,Los Angeles,http://www.avta.com/,,,,
Arcadia Transit,90044,,,Arcadia,Los Angeles,https://www.arcadiaca.gov/transit,,,,
Arcata & Mad River Transit System,91018,,,Arcata,Humboldt,https://hta.org/agencies/arcata-and-mad-river/,,,,
Artesia Express Dial-A-Ride,90300,,,Artesia,Los Angeles,http://www.cityofartesia.us/index.aspx?nid=189,,,,
