County,City
San Bernardino,Adelanto
Los Angeles,Agoura Hills
Alameda,Alameda
Alameda,Albany
Los Angeles,Alhambra
Modoc,Alturas
Amador,Amador City
Orange,Anaheim
Shasta,Anderson
Calaveras,Angels
Contra Costa,Antioch
San Bernardino,Apple Valley
Los Angeles,Arcadia
Humboldt,Arcata
San Luis Obispo,Arroyo Grande
Los Angeles,Artesia
Kern,Arvin
San Luis Obispo,Atascadero
San Mateo,Atherton
Merced,Atwater
Placer,Auburn
Los Angeles,Avalon
Kings,Avenal
Los Angeles,Azusa
Kern,Bakersfield
Los Angeles,Baldwin Park
Riverside,Banning
San Bernardino,Barstow
Riverside,Beaumont
Los Angeles,Bell
Los Angeles,Bell Gardens
Los Angeles,Bellflower
San Mateo,Belmont
Marin,Belvedere
Solano,Benicia
Alameda,Berkeley
Los Angeles,Beverly Hills
San Bernardino,Big Bear Lake
Butte,Biggs
Inyo,Bishop
Humboldt,Blue Lake
Riverside,Blythe
Los Angeles,Bradbury
Imperial,Brawley
Orange,Brea
Contra Costa,Brentwood
San Mateo,Brisbane
Orange,Buena Park
Los Angeles,Burbank
San Mateo,Burlingame
Imperial,Calexico
Kern,California City
Imperial,Calipatria
Napa,Calistoga
Ventura,Camarillo
Santa Clara,Campbell
Santa Cruz,Capitola
San Diego,Carlsbad
Monterey,Carmel-By-The-Sea
Santa Barbara,Carpinteria
Los Angeles,Carson
Riverside,Cathedral City
Stanislaus,Ceres
Los Angeles,Cerritos
Butte,Chico
San Bernardino,Chino
Madera,Chowchilla
San Diego,Chula Vista
Los Angeles,Claremont
Contra Costa,Clayton
Sonoma,Cloverdale
Fresno,Clovis
Riverside,Coachella
Fresno,Coalinga
Placer,Colfax
San Mateo,Colma
San Bernardino,Colton
Colusa,Colusa
Los Angeles,Commerce
Los Angeles,Compton
Contra Costa,Concord
Kings,Corcoran
Tehama,Corning
Riverside,Corona
San Diego,Coronado
Marin,Corte Madera
Orange,Costa Mesa
Sonoma,Cotati
Los Angeles,Covina
Del Norte,Crescent City
Los Angeles,Cudahy
Los Angeles,Culver City
Santa Clara,Cupertino
Orange,Cypress
San Mateo,Daly City
Orange,Dana Point
Contra Costa,Danville
Yolo,Davis
San Diego,Del Mar
Monterey,Del Rey Oaks
Kern,Delano
Riverside,Desert Hot Springs
Los Angeles,Diamond Bar
Tulare,Dinuba
Solano,Dixon
Siskiyou,Dorris
Merced,Dos Palos
Los Angeles,Downey
Los Angeles,Duarte
Alameda,Dublin
Siskiyou,Dunsmuir
San Mateo,East Palo Alto
San Diego,El Cajon
Imperial,El Centro
Contra Costa,El Cerrito
Los Angeles,El Monte
Los Angeles,El Segundo
Alameda,Emeryville
San Diego,Encinitas
San Joaquin,Escalon
San Diego,Escondido
Siskiyou,Etna
Humboldt,Eureka
Tulare,Exeter
Marin,Fairfax
Solano,Fairfield
Tulare,Farmersville
Humboldt,Ferndale
Ventura,Fillmore
Fresno,Firebaugh
Sacramento,Folsom
San Bernardino,Fontana
Mendocino,Fort Bragg
Siskiyou,Fort Jones
Humboldt,Fortuna
San Mateo,Foster City
Orange,Fountain Valley
Fresno,Fowler
Alameda,Fremont
Fresno,Fresno
Orange,Fullerton
Sacramento,Galt
Orange,Garden Grove
Los Angeles,Gardena
Santa Clara,Gilroy
Los Angeles,Glendale
Los Angeles,Glendora
Monterey,Gonzales
San Bernardino,Grand Terrace
Nevada,Grass Valley
Monterey,Greenfield
Butte,Gridley
San Luis Obispo,Grover Beach
Santa Barbara,Guadalupe
Merced,Gustine
San Mateo,Half Moon Bay
Kings,Hanford
Los Angeles,Hawaiian Gardens
Los Angeles,Hawthorne
Alameda,Hayward
Sonoma,Healdsburg
Riverside,Hemet
Contra Costa,Hercules
Los Angeles,Hermosa Beach
San Bernardino,Hesperia
Los Angeles,Hidden Hills
San Bernardino,Highland
San Mateo,Hillsborough
San Benito,Hollister
Imperial,Holtville
Stanislaus,Hughson
Orange,Huntington Beach
Los Angeles,Huntington Park
Fresno,Huron
Imperial,Imperial
San Diego,Imperial Beach
Riverside,Indian Wells
Riverside,Indio
Los Angeles,Industry
Los Angeles,Inglewood
Amador,Ione
Orange,Irvine
Los Angeles,Irwindale
Sacramento,Isleton
Amador,Jackson
Fresno,Kerman
Monterey,King City
Fresno,Kingsburg
Los Angeles,La Cañada Flintridge
Orange,La Habra
Los Angeles,La Habra Heights
San Diego,La Mesa
Los Angeles,La Mirada
Orange,La Palma
Los Angeles,La Puente
Riverside,La Quinta
Los Angeles,La Verne
Contra Costa,Lafayette
Orange,Laguna Beach
Orange,Laguna Niguel
Riverside,Lake Elsinore
Lake,Lakeport
Los Angeles,Lakewood
Los Angeles,Lancaster
Marin,Larkspur
San Joaquin,Lathrop
Los Angeles,Lawndale
San Diego,Lemon Grove
Kings,Lemoore
Placer,Lincoln
