agency_name,ntd_id,hq_city,hq_county,counties_served,agency_website,caltrans_district_id,caltrans_district_name,is_public_entity,is_publicly_operating,funding_sources,on_demand_vehicles_at_max_service,vehicles_at_max_service,gtfs_schedule_uris
San Francisco Bay Area Rapid Transit District,90003,Oakland,San Francisco,Alameda,http://www.bart.gov/,4.0,Bay Area / Oakland,True,True,5307;5309;5337,580.0,582.0,https://api.511.org/transit/datafeeds?operator_id=BA;https://api.511.org/transit/datafeeds?operator_id=RG;https://www.bart.gov/dev/schedules/google_transit.zip
Golden Empire Transit District,90004,Bakersfield,Kern,Kern,http://www.getbus.org/,6.0,Fresno / Bakersfield,True,True,5307,93.0,93.0,http://eta.getbus.org/rtt/public/utility/gtfs.aspx
Santa Cruz Metropolitan Transit District,90006,Santa Cruz,Santa Cruz,Santa Clara;Santa Cruz,http://www.scmtd.com/,5.0,San Luis Obispo / Santa Barbara,True,True,5307;5309;5311;5339,97.0,97.0,https://developer.scmetro.org/gtfs.zip
City of Santa Monica,90008,Santa Monica,Los Angeles,Los Angeles,http://www.bigbluebus.com/,7.0,Los Angeles / Ventura,True,True,5307;5309,124.0,162.0,https://gtfs.bigbluebus.com/current_swiftly.zip;https://www.bigbluebus.com/gtfs/current.zip
San Mateo County Transit District,90009,San Carlos,San Mateo,San Mateo,http://www.samtrans.com/,4.0,Bay Area / Oakland,True,True,5303;5307;5311;5317,178.0,361.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SM;https://www.samtrans.com/Assets/GTFS/samtrans/ST-GTFS.zip?v=1114
City of Torrance,90010,Torrance,Los Angeles,Los Angeles,http://Transit.TorranceCA.Gov/,7.0,Los Angeles / Ventura,True,True,5307,38.0,74.0,https://transit.torranceca.gov/home/showpublisheddocument/16673/638954293991730000
San Joaquin Regional Transit District,90012,Stockton,San Joaquin,San Joaquin,http://www.sanjoaquinrtd.com/,10.0,Stockton,True,True,5307;5310;5311;5339,91.0,105.0,http://sanjoaquinrtd.com/RTD-GTFS/RTD-GTFS.zip;https://gtfs.dds.dot.ca.gov/gtfs_files/SanJoaquinRTDDialARideandVanGoFlex.zip
Santa Clara Valley Transportation Authority,90013,San Jose,Santa Clara,Santa Clara,http://www.vta.org/,4.0,Bay Area / Oakland,True,True,5307;5309;5311;5337,379.0,520.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SC;https://gtfs.vta.org/gtfs_vta.zip
Alameda-Contra Costa Transit District,90014,Oakland,Alameda,Alameda,http://www.actransit.org/,4.0,Bay Area / Oakland,True,True,5307;5308;5309,427.0,619.0,https://api.511.org/transit/datafeeds?operator_id=AC;https://api.511.org/transit/datafeeds?operator_id=RG;https://api.actransit.org/transit/gtfs/download
City and County of San Francisco,90015,San Francisco,San Francisco,San Francisco,http://www.sfmta.com/,4.0,Bay Area / Oakland,True,True,5307;5309;5310;5337;5339,671.0,777.0,https://api.511.org/transit/datafeeds?operator_id=GP;https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SF;https://sfrecpark.org/DocumentCenter/View/25114/gtfs-1
"Golden Gate Bridge, Highway and Transportation District",90016,San Francisco,San Francisco,Marin;San Francisco;Sonoma,http://www.goldengate.org/,4.0,Bay Area / Oakland,True,True,5307;5310,60.0,73.0,https://api.511.org/transit/datafeeds?operator_id=GF;https://api.511.org/transit/datafeeds?operator_id=GG;https://api.511.org/transit/datafeeds?operator_id=RG;https://realtime.goldengate.org/gtfsstatic/GTFSTransitData.zip
City of Santa Rosa,90017,Santa Rosa,Sonoma,Sonoma,www.srcity.org/citybus,4.0,Bay Area / Oakland,True,True,5307;5310,18.0,29.0,https://api.511.org/transit/datafeeds?operator_id=RG;https://api.511.org/transit/datafeeds?operator_id=SR;https://santarosa.syncromatics.com/gtfs
Sacramento Regional Transit District,90019,Sacramento,Sacramento,Sacramento,http://www.sacrt.com/,3.0,Marysville / Sacramento,True,True,5307;5309;5337,362.0,387.0,https://iportal.sacrt.com/gtfs/srtd/google_transit.zip
Santa Barbara Metropolitan Transit District,90020,Santa Barbara,Santa Barbara,Santa Barbara,http://www.sbmtd.gov/,5.0,San Luis Obispo / Santa Barbara,True,True,5307;5339,71.0,71.0,https://sbmtd.gov/google_transit/feed.zip
City of Norwalk,90022,Norwalk,Los Angeles,Los Angeles,https://www.norwalk.org/city-hall/departments/norwalk-transit-system-nts,7.0,Los Angeles / Ventura,True,True,5307,20.0,27.0,https://nts.rideralerts.com/InfoPoint/GTFS-Zip.ashx
